;appId;install;genre;price;currency;free;title;summary
0;kr.co.lylstudio.unicorn;100,000+;Productivity;2.59;AUD;False;Unicorn Blocker:Adblocker, Fast & Private;* block pre-roll ads, pop-up and forced redirect ads<br>* Samsung certification app
1;me.plusnow.shield.stable;10,000+;Tools;2.89;AUD;False;AdShield - Ad blocker, No more ads & tracking;"Powerful Content Blocker for Chrome &amp; other browsers, Block ads and more"
2;com.pure.browser.plus;1,000+;Communication;3.19;AUD;False;Pure Browser Pro-Ad Blocker,Video Download,Player;Fast and mini browser with Ad Blocker,Video Downloader and Video Player
3;com.airpush_detector.ad_blocker;1,000+;Tools;1.79;AUD;False;Airpush Detector : Ad Detector;Airpush Detector : Ad Detector is an app to block mobile ads in your phone
4;com.github.xfalcon.vhosts;10,000+;Tools;4.99;AUD;False;Vpn Hosts (ad blocker & no root & support ipv6 );1,no root use customized Hosts File on android.<br>2,support wildcard DNS records.
5;com.agooday.skipadspro;10,000+;Tools;3.19;AUD;False;Skip Ads Pro;"Auto mute &amp; skip YouTube ads, <br>Timer to pause YouTube"
6;com.amberweather.widget.vip;50,000+;Productivity;1.39;AUD;False;Block Ads in Amber Widgets;"Block push notifications &amp; Ads in Amber Widgets to have a better weather serive."
7;com.glennio.premium;10,000+;Tools;5.5;AUD;False;Premium Adfree;Premium Plugin to remove VIDEO DOWNLOADER APP ads **NOT ADS SHOWN BY WEBSITES**
8;com.cosmic.webbrowser;5,000+;Communication;5.49;AUD;False;Cosmic Browser: Fast, Safe, Private & Ad-blocker;A fast, safe, and light web browser with gestures support and Ad-blocker
9;com.amber.vip.ad;1,000+;Weather;5.99;AUD;False;Ad Blocker Plug-in for Amber Widgets;Full refund (100% money back guarantee) if app does not work as described.
10;com.amber.vip.launcher.ad;1,000+;Personalization;3.09;AUD;False;Ad Blocker Plug-in for Launcher;Full refund (100% money back guarantee) if app does not work as described.
11;com.vmining.AdBlockPlus;5+;Tools;3.59;AUD;False;AdStop - ad blocker from all browsers 2021;ad blocking in all browsers
12;ru.khd.lib.ads;1,000+;Libraries & Demo;5.99;AUD;False;Плагин ADS +;Plugin to disable ads
13;com.adblock.skipads;50+;Tools;15.99;AUD;False;Auto Skip Ads Pro - Adblocker;Effective way to skip annoying ads
14;com.wProxyBrowser_10222471;50+;Communication;3.39;AUD;False;Proxy Browser - Adblock Secured Private Tor Proxy;"Proxy Browser is a Private, Secured Browser with Adblock &amp; Tor Proxy connection"
15;appinventor.ai_DaProgramerForBatch.TinyProxy_Paid;1,000+;Tools;1.39;AUD;False;TinyProxy - Webproxy & Adblock;TinyProxy is a simple and tiny web proxy for accessing blocked websites.
16;com.laggame.musicadblock;5+;Music & Audio;0.99;AUD;False;Music Adblock;Music Adblock mutes music volume when a Spotify ad is playing.
